0,6fd154c2e0cb-Hudep2_ATAC,9c6896724a71-Hudep2_D3_merged_CTCF.all,55047d5ca206-Hudep2_BCL11A,502aa7971c4b-Hudep2_D0_GATA1.all,8f98ac7fc54d-HUDEP2_LRF_CHIP,18349b65b5e8-Hudep2_D3_merged_GATA1.all,f8027f92e467-Hudep2_D3_merged_KLF1.all,f797f04f53e6-Hudep2_D3_merged_LDB1.all,730a8742155d-Hudep2_D3_merged_TAL1.all
chr11:5602308-5602309,39.25,2.5,1.25,5.5,6.75,1.75,7.5,4.0,3.0
chr11:5602341-5602342,39.25,2.5,1.25,5.5,6.75,1.75,7.5,4.0,3.0
chr11:5602344-5602345,39.25,2.5,1.25,5.5,6.75,1.75,7.5,4.0,3.0
chr11:5602346-5602347,40.1136,2.36364,1.29545,5.72727,6.840910000000001,1.8863599999999998,7.5,3.86364,2.95455
chr11:5602348-5602349,40.9773,2.22727,1.34091,5.95455,6.93182,2.02273,7.5,3.72727,2.90909
chr11:5602354-5602355,43.5682,1.81818,1.47727,6.636360000000001,7.20455,2.43182,7.5,3.3181800000000004,2.77273
chr11:5602375-5602376,44.0,1.75,1.5,6.75,7.25,2.5,7.5,3.25,2.75
chr11:5602377-5602378,44.0,1.75,1.5,6.75,7.25,2.5,7.5,3.25,2.75
chr11:5602379-5602380,44.0,1.75,1.5,6.75,7.25,2.5,7.5,3.25,2.75
chr11:5602387-5602388,44.0,1.75,1.5,6.75,7.25,2.5,7.5,3.25,2.75
chr11:5602394-5602395,44.0,1.75,1.5,6.75,7.25,2.5,7.5,3.25,2.75
chr11:5612971-5612972,40.25,3.5,1.25,3.75,8.5,4.5,3.75,4.25,2.25
chr11:5613011-5613012,46.25,5.25,1.75,3.0,8.5,4.5,3.25,4.75,2.5
chr11:5613018-5613019,46.25,5.25,1.75,3.0,8.5,4.5,3.25,4.75,2.5
chr11:5613019-5613020,46.25,5.25,1.75,3.0,8.5,4.5,3.25,4.75,2.5
chr11:5613021-5613022,46.25,5.25,1.75,3.0,8.5,4.5,3.25,4.75,2.5
chr11:5613022-5613023,46.25,5.25,1.75,3.0,8.5,4.5,3.25,4.75,2.5
chr11:5613023-5613024,46.25,5.25,1.75,3.0,8.5,4.5,3.25,4.75,2.5
chr11:5613025-5613026,46.25,5.25,1.75,3.0,8.5,4.5,3.25,4.75,2.5
chr11:5613026-5613027,46.25,5.25,1.75,3.0,8.5,4.5,3.25,4.75,2.5
chr11:5613029-5613030,46.25,5.25,1.75,3.0,8.5,4.5,3.25,4.75,2.5
chr11:5613030-5613031,46.25,5.25,1.75,3.0,8.5,4.5,3.25,4.75,2.5
chr11:5617936-5617937,673.0,7.5,15.25,25.75,21.25,59.5,34.0,34.25,41.5
chr11:5617945-5617946,682.1139999999999,7.590910000000001,16.2045,26.3182,21.4091,61.0,34.25,34.9318,41.9091
chr11:5617972-5617973,773.25,8.5,25.75,32.0,23.0,76.0,36.75,41.75,46.0
chr11:5617982-5617983,773.25,8.5,25.75,32.0,23.0,76.0,36.75,41.75,46.0
chr11:5618025-5618026,776.25,9.0,30.25,34.5,25.0,88.5,38.0,44.5,48.5
chr11:5618033-5618034,776.25,9.0,30.25,34.5,25.0,88.5,38.0,44.5,48.5
chr11:5618043-5618044,776.25,9.0,30.25,34.5,25.0,88.5,38.0,44.5,48.5
chr11:5618044-5618045,776.25,9.0,30.25,34.5,25.0,88.5,38.0,44.5,48.5
chr11:5618045-5618046,766.659,9.022730000000001,30.7045,34.3636,25.1818,88.6818,37.8182,44.2727,48.5909
chr11:5621680-5621681,502.25,133.25,7.25,8.5,21.0,19.5,24.75,4.25,7.25
chr11:5621703-5621704,593.068,148.18200000000002,8.68182,9.31818,23.6591,22.1591,26.3864,6.70455,9.70455
chr11:5621704-5621705,603.159,149.841,8.840910000000001,9.409089999999999,23.9545,22.4545,26.5682,6.97727,9.977269999999999
chr11:5621705-5621706,613.25,151.5,9.0,9.5,24.25,22.75,26.75,7.25,10.25
chr11:5621706-5621707,613.25,151.5,9.0,9.5,24.25,22.75,26.75,7.25,10.25
chr11:5621715-5621716,613.25,151.5,9.0,9.5,24.25,22.75,26.75,7.25,10.25
chr11:5621719-5621720,613.25,151.5,9.0,9.5,24.25,22.75,26.75,7.25,10.25
chr11:5621766-5621767,584.5,145.0,7.75,9.5,25.0,24.25,25.25,12.0,13.25
chr11:5621767-5621768,584.5,145.0,7.75,9.5,25.0,24.25,25.25,12.0,13.25
chr11:5621768-5621769,584.5,145.0,7.75,9.5,25.0,24.25,25.25,12.0,13.25
chr11:5621770-5621771,584.5,145.0,7.75,9.5,25.0,24.25,25.25,12.0,13.25
chr11:5621779-5621780,584.5,145.0,7.75,9.5,25.0,24.25,25.25,12.0,13.25
chr11:5646401-5646402,53.9091,5.63636,1.18182,3.11364,9.81818,2.18182,7.613639999999999,4.11364,3.09091
chr11:5646404-5646405,51.7273,5.90909,1.04545,2.84091,9.95455,2.04545,8.090910000000001,3.84091,3.02273
chr11:5646405-5646406,51.0,6.0,1.0,2.75,10.0,2.0,8.25,3.75,3.0
chr11:5646406-5646407,51.0,6.0,1.0,2.75,10.0,2.0,8.25,3.75,3.0
chr11:5672161-5672162,120.25,1.25,1.25,10.5,11.25,10.5,4.75,3.75,5.75
chr11:5672175-5672176,120.25,1.25,1.25,10.5,11.25,10.5,4.75,3.75,5.75
chr11:5672223-5672224,106.25,1.5,0.25,11.0,10.25,9.75,5.5,3.5,6.0
chr11:5672233-5672234,106.25,1.5,0.25,11.0,10.25,9.75,5.5,3.5,6.0
chr11:5672253-5672254,82.1136,1.70455,0.0454545,9.977269999999999,9.63636,8.727269999999999,5.5,3.5,4.97727
chr11:5672258-5672259,76.75,1.75,0.0,9.75,9.5,8.5,5.5,3.5,4.75
chr11:5686629-5686630,168.25,8.25,2.5,22.25,17.75,32.0,12.75,9.75,8.75
chr11:5686631-5686632,168.25,8.25,2.5,22.25,17.75,32.0,12.75,9.75,8.75
chr11:5686632-5686633,168.25,8.25,2.5,22.25,17.75,32.0,12.75,9.75,8.75
chr11:5686633-5686634,168.25,8.25,2.5,22.25,17.75,32.0,12.75,9.75,8.75
chr11:5686860-5686861,56.75,4.0,3.75,22.5,12.25,18.25,8.25,10.5,5.75
chr11:5686861-5686862,56.75,4.0,3.75,22.5,12.25,18.25,8.25,10.5,5.75
chr11:5686869-5686870,56.75,4.0,3.75,22.5,12.25,18.25,8.25,10.5,5.75
chr11:5686888-5686889,56.75,4.0,3.75,22.5,12.25,18.25,8.25,10.5,5.75
chr11:5705044-5705045,99.75,5.25,0.0,9.0,8.25,1.75,8.25,5.75,4.75
chr11:5705058-5705059,108.5,5.0,0.25,7.25,10.0,2.5,7.75,6.25,2.5
chr11:5705060-5705061,108.5,5.0,0.25,7.25,10.0,2.5,7.75,6.25,2.5
chr11:5705062-5705063,108.5,5.0,0.25,7.25,10.0,2.5,7.75,6.25,2.5
chr11:5705063-5705064,108.5,5.0,0.25,7.25,10.0,2.5,7.75,6.25,2.5
chr11:5705065-5705066,108.5,5.0,0.25,7.25,10.0,2.5,7.75,6.25,2.5
chr11:5705067-5705068,108.5,5.0,0.25,7.25,10.0,2.5,7.75,6.25,2.5
chr11:5705068-5705069,108.5,5.0,0.25,7.25,10.0,2.5,7.75,6.25,2.5
chr11:5705076-5705077,108.5,5.0,0.25,7.25,10.0,2.5,7.75,6.25,2.5
chr11:5705086-5705087,108.5,5.0,0.25,7.25,10.0,2.5,7.75,6.25,2.5
chr11:5705099-5705100,101.227,5.11364,0.590909,6.0,10.6818,2.5,7.75,6.13636,1.70455
chr11:5705100-5705101,99.7727,5.13636,0.659091,5.75,10.8182,2.5,7.75,6.11364,1.54545
chr11:5705111-5705112,92.5,5.25,1.0,4.5,11.5,2.5,7.75,6.0,0.75
chr11:5705116-5705117,92.5,5.25,1.0,4.5,11.5,2.5,7.75,6.0,0.75
chr11:5706017-5706018,323.75,107.0,3.25,18.25,27.25,37.0,33.75,21.0,10.25
chr11:5706299-5706300,730.477,30.2045,14.4773,24.5455,25.7955,46.3409,54.2955,21.3182,16.9091
chr11:5706300-5706301,746.523,29.7955,14.5227,24.4545,25.7045,46.9091,54.4545,21.1818,16.8409
chr11:5706302-5706303,778.6139999999999,28.9773,14.6136,24.2727,25.5227,48.0455,54.7727,20.9091,16.7045
chr11:5706303-5706304,794.659,28.5682,14.6591,24.1818,25.4318,48.6136,54.9318,20.7727,16.6364
chr11:5706336-5706337,826.75,27.75,14.75,24.0,25.25,49.75,55.25,20.5,16.5
chr11:5706339-5706340,826.75,27.75,14.75,24.0,25.25,49.75,55.25,20.5,16.5
chr11:5706354-5706355,843.1139999999999,24.1136,13.6136,21.2727,23.8864,53.3864,52.9773,17.3182,14.6818
chr11:5706355-5706356,844.75,23.75,13.5,21.0,23.75,53.75,52.75,17.0,14.5
chr11:5706357-5706358,844.75,23.75,13.5,21.0,23.75,53.75,52.75,17.0,14.5
chr11:5706360-5706361,844.75,23.75,13.5,21.0,23.75,53.75,52.75,17.0,14.5
chr11:5706370-5706371,844.75,23.75,13.5,21.0,23.75,53.75,52.75,17.0,14.5
chr11:5706373-5706374,844.75,23.75,13.5,21.0,23.75,53.75,52.75,17.0,14.5
chr11:5706377-5706378,844.75,23.75,13.5,21.0,23.75,53.75,52.75,17.0,14.5
chr11:5711590-5711591,25.0,6.25,2.0,6.75,16.5,2.25,11.75,3.25,2.5
chr11:5711611-5711612,28.0,6.75,2.0,8.5,16.5,3.0,12.0,3.5,2.5
chr11:5711615-5711616,28.0,6.75,2.0,8.5,16.5,3.0,12.0,3.5,2.5
chr11:5711621-5711622,28.0,6.75,2.0,8.5,16.5,3.0,12.0,3.5,2.5
chr11:5712174-5712175,47.5,1.75,1.0,11.5,21.25,7.75,11.0,6.5,5.5
chr11:5712175-5712176,47.5,1.75,1.0,11.5,21.25,7.75,11.0,6.5,5.5
chr11:5712590-5712591,21.5,3.75,1.75,4.25,21.25,5.5,10.25,5.75,4.25
chr11:5712655-5712656,38.0,3.75,7.25,8.75,17.25,11.75,11.75,6.25,6.75
chr11:5712689-5712690,38.0,3.75,7.25,8.75,17.25,11.75,11.75,6.25,6.75
chr11:5733815-5733816,18.75,29.75,2.0,3.5,9.0,1.75,9.75,3.75,2.0
chr11:5733838-5733839,18.75,29.75,2.0,3.5,9.0,1.75,9.75,3.75,2.0
chr11:5733885-5733886,24.5,38.75,1.0,4.0,8.25,1.5,9.0,3.5,2.25
chr11:5735059-5735060,25.25,1.0,2.5,2.0,6.5,1.5,1.5,5.25,2.25
chr11:5735060-5735061,25.25,1.0,2.5,2.0,6.5,1.5,1.5,5.25,2.25
chr11:5735066-5735067,25.25,1.0,2.5,2.0,6.5,1.5,1.5,5.25,2.25
chr11:5735069-5735070,25.25,1.0,2.5,2.0,6.5,1.5,1.5,5.25,2.25
chr11:5735072-5735073,25.25,1.0,2.5,2.0,6.5,1.5,1.5,5.25,2.25
chr11:5735107-5735108,35.5,1.75,2.5,1.75,5.0,1.5,1.0,5.5,1.5
chr11:5735108-5735109,35.5,1.75,2.5,1.75,5.0,1.5,1.0,5.5,1.5
chr11:5735110-5735111,35.5,1.75,2.5,1.75,5.0,1.5,1.0,5.5,1.5
chr11:5735117-5735118,35.5,1.75,2.5,1.75,5.0,1.5,1.0,5.5,1.5
chr11:5735127-5735128,35.5,1.75,2.5,1.75,5.0,1.5,1.0,5.5,1.5
chr11:5735168-5735169,37.5,3.0,2.25,1.5,5.0,2.0,1.25,6.25,0.75
chr11:5735189-5735190,37.5,3.0,2.25,1.5,5.0,2.0,1.25,6.25,0.75
chr11:5735194-5735195,37.5,3.0,2.25,1.5,5.0,2.0,1.25,6.25,0.75
chr11:5829874-5829875,254.5,106.5,7.25,5.75,34.5,5.5,11.0,7.5,7.5
chr11:5829885-5829886,254.5,106.5,7.25,5.75,34.5,5.5,11.0,7.5,7.5
chr11:5829887-5829888,254.5,106.5,7.25,5.75,34.5,5.5,11.0,7.5,7.5
chr11:5831808-5831809,92.5,4.25,3.75,11.5,11.5,19.5,9.25,16.5,11.75
chr11:5831815-5831816,92.5,4.25,3.75,11.5,11.5,19.5,9.25,16.5,11.75
chr11:5831826-5831827,92.5,4.25,3.75,11.5,11.5,19.5,9.25,16.5,11.75
chr11:5831827-5831828,92.5,4.25,3.75,11.5,11.5,19.5,9.25,16.5,11.75
chr11:5831829-5831830,92.5,4.25,3.75,11.5,11.5,19.5,9.25,16.5,11.75
chr11:5831864-5831865,95.5,5.0,3.75,10.0,12.75,20.0,9.25,17.5,11.75
chr19:12936453-12936454,82.5455,51.0,0.840909,5.18182,67.8864,2.70455,17.6364,10.7045,6.18182
chr19:12936454-12936455,85.2727,52.25,0.795455,5.09091,69.0682,2.72727,17.8182,10.7273,6.34091
chr19:12936478-12936479,88.0,53.5,0.75,5.0,70.25,2.75,18.0,10.75,6.5
chr19:12936520-12936521,116.75,62.25,1.0,5.5,74.25,3.5,19.25,9.5,7.75
chr19:12943417-12943418,441.0,140.5,20.25,13.0,80.75,28.25,69.5,19.5,16.75
chr19:12943522-12943523,607.5,206.75,28.0,12.5,74.0,27.0,73.0,15.75,15.25
chr19:12943524-12943525,607.5,206.75,28.0,12.5,74.0,27.0,73.0,15.75,15.25
chr19:12949227-12949228,535.75,206.25,3.25,12.0,113.5,14.5,57.25,11.5,12.75
chr19:12952075-12952076,223.0,11.75,5.5,12.0,44.75,11.0,24.75,15.25,9.5
chr19:12952087-12952088,223.0,11.75,5.5,12.0,44.75,11.0,24.75,15.25,9.5
chr19:12952088-12952089,223.0,11.75,5.5,12.0,44.75,11.0,24.75,15.25,9.5
chr19:12952181-12952182,154.0,15.5,2.75,8.75,46.75,10.0,20.5,13.0,8.0
chr19:12952182-12952183,154.0,15.5,2.75,8.75,46.75,10.0,20.5,13.0,8.0
chr19:12958543-12958544,435.5,223.5,18.5,9.25,75.5,9.5,37.5,17.75,13.75
chr19:12958599-12958600,653.364,261.432,18.8182,11.0455,84.0455,8.68182,42.5682,17.4773,16.25
chr19:12967654-12967655,48.3182,8.772730000000001,8.977269999999999,8.11364,13.0227,46.6136,44.1818,24.1136,19.6136
chr19:12967664-12967665,48.5,9.0,9.0,8.0,13.0,46.5,44.25,24.25,19.5
chr19:12979772-12979773,135.0,6.5,8.0,11.75,17.75,9.25,5.5,5.0,1.5
chr19:12979781-12979782,135.0,6.5,8.0,11.75,17.75,9.25,5.5,5.0,1.5
chr19:12979824-12979825,143.5,7.75,9.25,12.5,15.5,8.0,6.0,5.5,2.25
chr19:12983903-12983904,219.955,9.977269999999999,66.4545,7.95455,22.8182,7.79545,25.6818,10.1136,5.38636
chr19:12983943-12983944,227.5,9.75,68.5,8.0,23.0,7.75,26.0,10.25,5.25
chr19:12983947-12983948,230.56799999999998,9.54545,65.5682,7.863639999999999,23.2045,8.022730000000001,25.7273,10.7273,5.52273
chr19:12983954-12983955,237.727,9.06818,58.7273,7.54545,23.6818,8.659089999999999,25.0909,11.8409,6.15909
chr19:12994637-12994638,298.5,19.75,18.5,19.25,43.75,30.25,77.25,21.75,18.25
chr19:12994639-12994640,298.5,19.75,18.5,19.25,43.75,30.25,77.25,21.75,18.25
chr19:12994641-12994642,298.5,19.75,18.5,19.25,43.75,30.25,77.25,21.75,18.25
chr19:12994642-12994643,298.5,19.75,18.5,19.25,43.75,30.25,77.25,21.75,18.25
chr19:12994643-12994644,298.5,19.75,18.5,19.25,43.75,30.25,77.25,21.75,18.25
chr19:12994644-12994645,298.5,19.75,18.5,19.25,43.75,30.25,77.25,21.75,18.25
chr19:12994645-12994646,308.909,19.9318,18.9773,19.3409,44.0227,30.1818,78.0682,21.7955,18.5909
chr19:12994688-12994689,413.0,21.75,23.75,20.25,46.75,29.5,86.25,22.25,22.0
chr19:12994731-12994732,447.0,22.5,27.25,19.75,54.5,29.25,90.25,23.5,24.5
chr19:12994737-12994738,447.0,22.5,27.25,19.75,54.5,29.25,90.25,23.5,24.5
chr19:12994739-12994740,447.0,22.5,27.25,19.75,54.5,29.25,90.25,23.5,24.5
chr19:12994745-12994746,443.38599999999997,22.3409,26.9545,19.5,54.6591,28.9545,89.8864,23.4545,24.5682
chr19:12994748-12994749,432.545,21.8636,26.0682,18.75,55.1364,28.0682,88.7955,23.3182,24.7727
chr19:12994749-12994750,428.93199999999996,21.7045,25.7727,18.5,55.2955,27.7727,88.4318,23.2727,24.8409
chr19:12994750-12994751,425.31800000000004,21.5455,25.4773,18.25,55.4545,27.4773,88.0682,23.2273,24.9091
chr19:12995912-12995913,1542.5,32.25,178.0,13.25,86.25,22.5,82.25,23.25,34.25
chr19:12995916-12995917,1542.5,32.25,178.0,13.25,86.25,22.5,82.25,23.25,34.25
chr19:12995970-12995971,1730.75,37.0,187.5,13.0,92.25,29.0,88.5,26.0,34.75
chr19:12996079-12996080,1668.75,57.0,142.75,17.0,106.5,29.25,98.0,32.0,35.25
chr19:12996126-12996127,1415.5,69.75,95.75,19.25,111.25,26.75,96.75,31.25,31.75
chr19:12996172-12996173,1115.75,77.0,67.25,20.0,109.5,24.5,91.0,29.25,31.0
chr19:12996411-12996412,493.5,134.25,13.5,22.0,123.5,23.0,61.5,19.25,20.0
chr19:12996436-12996437,493.5,134.25,13.5,22.0,123.5,23.0,61.5,19.25,20.0
chr19:12996447-12996448,499.977,136.705,13.5682,21.7273,125.955,23.9545,61.9091,19.5909,19.5227
chr19:12996499-12996500,495.659,137.455,12.9545,20.3182,131.25,26.8409,63.4545,21.6364,18.25
chr19:12996692-12996693,193.0,60.5,4.25,22.0,110.0,31.0,50.5,19.0,26.25
chr19:12996698-12996699,193.364,56.9545,4.06818,22.8182,112.90899999999999,34.9091,49.5909,18.3636,28.4318
chr19:12996766-12996767,203.75,41.25,3.75,27.0,130.5,52.75,49.0,19.5,40.25
chr19:12996768-12996769,203.75,41.25,3.75,27.0,130.5,52.75,49.0,19.5,40.25
chr19:12996819-12996820,216.0,33.25,3.0,30.75,138.5,62.25,51.75,25.5,45.5
chr19:12997144-12997145,711.25,19.0,31.75,132.25,249.25,298.0,105.75,86.25,142.75
chr19:12997258-12997259,651.75,19.25,30.75,138.25,222.75,302.0,92.5,91.25,150.25
chr19:12997523-12997524,204.5,15.75,6.75,27.5,106.75,72.5,43.5,26.75,39.25
chr19:12997530-12997531,204.5,15.75,6.75,27.5,106.75,72.5,43.5,26.75,39.25
chr19:12997540-12997541,204.5,15.75,6.75,27.5,106.75,72.5,43.5,26.75,39.25
chr19:12997560-12997561,209.0,14.75,6.5,26.75,113.0,61.0,39.25,24.25,32.25
chr19:12997564-12997565,209.0,14.75,6.5,26.75,113.0,61.0,39.25,24.25,32.25
chr19:12997566-12997567,209.0,14.75,6.5,26.75,113.0,61.0,39.25,24.25,32.25
chr19:12997612-12997613,189.0,13.75,6.5,25.75,125.0,57.5,38.5,22.75,28.0
chr19:12997620-12997621,189.0,13.75,6.5,25.75,125.0,57.5,38.5,22.75,28.0
chr19:12997623-12997624,189.0,13.75,6.5,25.75,125.0,57.5,38.5,22.75,28.0
chr19:12997636-12997637,189.0,13.75,6.5,25.75,125.0,57.5,38.5,22.75,28.0
chr19:12997652-12997653,177.0,14.4773,7.22727,25.2045,132.81799999999998,57.5,38.3182,21.6591,28.1818
chr19:12997660-12997661,172.5,14.75,7.5,25.0,135.75,57.5,38.25,21.25,28.25
chr19:12997664-12997665,172.5,14.75,7.5,25.0,135.75,57.5,38.25,21.25,28.25
chr19:12997670-12997671,172.5,14.75,7.5,25.0,135.75,57.5,38.25,21.25,28.25
chr19:12998016-12998017,1402.5,25.5,58.5,88.75,325.0,234.25,84.25,54.25,68.75
chr19:12998053-12998054,1604.59,27.5455,66.8864,101.023,350.773,277.409,91.0,61.4091,82.25
chr19:12998054-12998055,1627.05,27.7727,67.8182,102.38600000000001,353.63599999999997,282.205,91.75,62.2045,83.75
chr19:12998060-12998061,1649.5,28.0,68.75,103.75,356.5,287.0,92.5,63.0,85.25
chr19:12998062-12998063,1649.5,28.0,68.75,103.75,356.5,287.0,92.5,63.0,85.25
chr19:12998073-12998074,1649.5,28.0,68.75,103.75,356.5,287.0,92.5,63.0,85.25
chr19:12998477-12998478,1466.5,34.0,62.5,188.5,382.0,434.25,92.5,138.0,239.0
chr19:13001714-13001715,2274.75,72.0,795.75,29.25,65.25,67.75,291.0,25.25,27.0
chr19:13001758-13001759,2481.25,65.25,940.75,31.0,69.75,70.5,343.0,23.5,24.25
chr19:13001775-13001776,2481.25,65.25,940.75,31.0,69.75,70.5,343.0,23.5,24.25
chr19:13001824-13001825,2642.25,57.5,896.0,31.5,74.0,72.25,371.0,21.5,25.0
chr19:13001826-13001827,2642.25,57.5,896.0,31.5,74.0,72.25,371.0,21.5,25.0
chr19:13001840-13001841,2642.25,57.5,896.0,31.5,74.0,72.25,371.0,21.5,25.0
chr19:13030109-13030110,1052.25,27.5,73.5,24.25,72.0,33.5,234.0,25.25,26.5
chr19:13030117-13030118,1052.25,27.5,73.5,24.25,72.0,33.5,234.0,25.25,26.5
chr19:13030243-13030244,1307.75,34.25,87.5,25.0,73.0,32.5,243.5,26.5,25.25
chr19:13040976-13040977,105.0,10.75,1.5,5.5,20.5,1.0,11.0,5.5,2.25
chr19:13041038-13041039,130.0,14.0,2.25,5.5,21.25,0.75,9.25,4.5,2.25
chr19:13041039-13041040,130.0,14.0,2.25,5.5,21.25,0.75,9.25,4.5,2.25
chr19:13043969-13043970,194.5,8.5,10.5,8.25,29.5,17.5,14.5,11.5,11.25
chr19:13043980-13043981,194.5,8.5,10.5,8.25,29.5,17.5,14.5,11.5,11.25
chr19:13044081-13044082,220.25,9.25,7.5,10.75,40.25,10.25,23.5,10.75,11.25
chr19:13044099-13044100,215.477,9.25,7.840910000000001,11.7727,42.2955,9.56818,26.0,11.2045,10.6818
chr19:13048309-13048310,349.5,14.25,6.5,17.5,210.25,25.25,29.75,14.75,14.0
chr19:13048340-13048341,349.5,14.25,6.5,17.5,210.25,25.25,29.75,14.75,14.0
chr19:13048813-13048814,2316.25,29.0,170.5,34.5,243.75,86.75,137.25,25.0,39.5
chr19:13048818-13048819,2316.25,29.0,170.5,34.5,243.75,86.75,137.25,25.0,39.5
chr19:13048872-13048873,2494.5,31.75,201.75,38.5,228.25,100.0,170.0,28.0,35.75
chr19:13048929-13048930,2375.75,33.75,233.75,40.5,228.0,111.75,208.0,33.5,32.0
chr19:13048932-13048933,2375.75,33.75,233.75,40.5,228.0,111.75,208.0,33.5,32.0
chr19:13049140-13049141,1844.25,33.0,267.0,32.0,207.0,86.5,343.75,31.5,41.75
chr19:13049213-13049214,2316.5,42.0,382.25,28.75,197.25,72.5,330.5,26.5,41.25
chr19:13049216-13049217,2316.5,42.0,382.25,28.75,197.25,72.5,330.5,26.5,41.25
chr19:13049220-13049221,2316.5,42.0,382.25,28.75,197.25,72.5,330.5,26.5,41.25
chr19:13049237-13049238,2316.5,42.0,382.25,28.75,197.25,72.5,330.5,26.5,41.25
chr19:13049256-13049257,2529.0,47.25,416.0,26.5,195.0,62.0,302.25,26.75,37.75
chr19:13049276-13049277,2529.0,47.25,416.0,26.5,195.0,62.0,302.25,26.75,37.75
chr19:13049280-13049281,2529.0,47.25,416.0,26.5,195.0,62.0,302.25,26.75,37.75
chr19:13049290-13049291,2529.0,47.25,416.0,26.5,195.0,62.0,302.25,26.75,37.75
chr19:13049340-13049341,2541.25,49.0,396.0,23.75,189.0,52.25,274.0,28.0,31.25
chr19:13049676-13049677,226.0,62.5,12.0,14.25,92.0,22.25,74.0,24.75,17.5
chr19:13049686-13049687,226.0,62.5,12.0,14.25,92.0,22.25,74.0,24.75,17.5
chr19:13049700-13049701,237.864,66.8636,10.5,14.1136,89.8182,21.1591,68.1364,23.9318,19.1364
chr19:13049744-13049745,247.75,70.5,9.25,14.0,88.0,20.25,63.25,23.25,20.5
chr19:13049779-13049780,278.5,71.25,7.75,13.5,80.75,20.75,55.5,23.5,20.5
chr19:13051579-13051580,121.75,4.5,2.25,26.0,18.25,22.25,13.25,8.25,3.25
chr19:13051594-13051595,121.75,4.5,2.25,26.0,18.25,22.25,13.25,8.25,3.25
chr19:13051596-13051597,119.795,4.68182,2.25,26.4091,17.7955,22.2045,13.2955,8.29545,3.25
chr19:13051597-13051598,118.818,4.77273,2.25,26.6136,17.5682,22.1818,13.3182,8.31818,3.25
chr19:13051671-13051672,84.0,7.5,2.25,27.0,15.0,19.5,13.0,9.0,3.5
chr19:13051672-13051673,84.0,7.5,2.25,27.0,15.0,19.5,13.0,9.0,3.5
chr19:13051681-13051682,84.0,7.5,2.25,27.0,15.0,19.5,13.0,9.0,3.5
chr19:13056578-13056579,1145.75,49.5,112.25,48.75,125.0,154.5,311.75,23.0,22.5
chr19:13056602-13056603,1224.3,48.4091,127.34100000000001,44.9318,138.273,144.864,302.295,24.6364,26.3182
chr19:13057037-13057038,699.75,29.25,11.0,17.75,186.0,31.25,106.0,34.75,24.25
chr19:13057039-13057040,699.75,29.25,11.0,17.75,186.0,31.25,106.0,34.75,24.25
chr19:13057311-13057312,133.25,17.5,7.5,21.0,70.5,15.25,46.75,27.75,18.5
chr19:13057322-13057323,133.25,17.5,7.5,21.0,70.5,15.25,46.75,27.75,18.5
chr19:13057323-13057324,133.25,17.5,7.5,21.0,70.5,15.25,46.75,27.75,18.5
chr19:13057324-13057325,133.25,17.5,7.5,21.0,70.5,15.25,46.75,27.75,18.5
chr19:13057325-13057326,133.25,17.5,7.5,21.0,70.5,15.25,46.75,27.75,18.5
chr19:13057326-13057327,133.25,17.5,7.5,21.0,70.5,15.25,46.75,27.75,18.5
chr19:13057328-13057329,133.25,17.5,7.5,21.0,70.5,15.25,46.75,27.75,18.5
chr19:13057332-13057333,133.25,17.5,7.5,21.0,70.5,15.25,46.75,27.75,18.5
chr19:13058793-13058794,867.75,22.5,40.75,86.5,96.75,209.0,186.75,55.0,89.0
chr19:13058973-13058974,1903.25,30.0,59.0,116.25,110.0,297.75,297.5,94.75,111.25
chr19:13058974-13058975,1903.25,30.0,59.0,116.25,110.0,297.75,297.5,94.75,111.25
chr19:13058985-13058986,1903.25,30.0,59.0,116.25,110.0,297.75,297.5,94.75,111.25
chr19:13067004-13067005,189.023,16.6364,9.36364,21.3864,30.4318,24.5455,12.6818,14.0682,10.4545
chr19:13067047-13067048,195.0,16.8864,9.227269999999999,21.6364,31.3182,24.8182,13.0227,14.6591,10.8409
chr19:13067058-13067059,201.0,17.25,8.5,22.0,33.5,25.0,13.75,15.75,11.75
chr19:13067080-13067081,201.0,17.25,8.5,22.0,33.5,25.0,13.75,15.75,11.75
chr19:13067084-13067085,201.0,17.25,8.5,22.0,33.5,25.0,13.75,15.75,11.75
chr19:13076276-13076277,722.25,401.5,8.0,22.25,141.0,37.0,80.0,34.75,34.5
chr19:13076316-13076317,863.25,452.5,6.75,24.0,154.0,46.0,85.5,38.0,36.5
chr19:13076355-13076356,818.0,448.25,4.25,22.5,161.75,50.25,81.5,38.0,35.0
chr19:13076362-13076363,818.0,448.25,4.25,22.5,161.75,50.25,81.5,38.0,35.0
chr19:13076373-13076374,818.0,448.25,4.25,22.5,161.75,50.25,81.5,38.0,35.0
chr19:13076391-13076392,818.0,448.25,4.25,22.5,161.75,50.25,81.5,38.0,35.0
chr19:13076392-13076393,818.0,448.25,4.25,22.5,161.75,50.25,81.5,38.0,35.0
chr19:13076393-13076394,818.0,448.25,4.25,22.5,161.75,50.25,81.5,38.0,35.0
chr19:13076528-13076529,461.5,240.75,4.5,13.0,117.0,41.75,52.25,29.75,32.5
chr19:13076610-13076611,365.75,160.5,6.25,15.75,103.75,38.25,43.0,27.75,34.25
chr19:13076642-13076643,365.75,160.5,6.25,15.75,103.75,38.25,43.0,27.75,34.25
