0,55918e182827-Hudep2_ATAC,df556ca45528-Hudep2_D3_merged_CTCF.all,8ac5c2b6b652-Hudep2_BCL11A,d4479abb8c62-Hudep2_D0_GATA1.all,e75fff55b23d-HUDEP2_LRF_CHIP,6de19797ef29-Hudep2_D3_merged_GATA1.all,1a798ec730b0-Hudep2_D3_merged_KLF1.all,4c1a9aa91555-Hudep2_D3_merged_LDB1.all,f3f86258967b-Hudep2_D3_merged_TAL1.all
chr11:5309051-5309052,61.8028,8.41615,3.15217,14.0776,21.9037,14.3152,23.1242,12.5078,14.9674
chr11:5309426-5309427,972.1260000000001,22.6211,65.3882,109.905,33.7904,260.57099999999997,121.79299999999999,105.16799999999999,158.655
chr11:5309515-5309516,1527.99,26.0978,102.995,131.863,38.7609,306.334,137.626,117.79299999999999,187.354
chr11:5312637-5312638,288.615,120.46600000000001,7.798139999999999,10.2329,22.3711,5.61646,16.1118,13.3447,8.22671
chr11:5312647-5312648,296.814,124.22399999999999,7.8913,9.922360000000001,22.7438,5.89596,16.236,13.4068,8.18012
chr11:5319062-5319063,127.03,6.18323,11.3742,15.985999999999999,13.4829,13.6879,11.045,13.8478,6.49379
chr11:5319067-5319068,130.05,6.206519999999999,11.5217,16.1025,13.4519,13.8509,11.0373,13.8401,6.454969999999999
chr11:5319069-5319070,131.25799999999998,6.21584,11.5807,16.1491,13.4394,13.9161,11.0342,13.837,6.43944
chr11:5319105-5319106,139.759,6.38354,11.0885,15.7003,13.6801,15.1149,11.0947,13.2469,6.0823
chr11:5319291-5319292,88.4115,6.3788800000000005,3.3540400000000004,6.51242,15.5435,14.0683,11.145999999999999,8.11801,7.11335
chr11:5319302-5319303,88.7531,6.4130400000000005,3.3028,6.23913,15.5264,13.573,11.1801,7.75932,7.0621100000000006
chr11:5319303-5319304,88.7842,6.41615,3.29814,6.21429,15.5248,13.527999999999999,11.1832,7.726710000000001,7.05745
chr11:5319417-5319418,91.9689,6.06988,3.45963,5.040369999999999,16.1366,8.02329,10.5248,4.46894,5.43478
chr11:5325062-5325063,779.9110000000001,9.18789,17.9099,93.7189,22.2438,85.455,42.2019,39.795,26.1755
chr11:5325063-5325064,779.0310000000001,9.19565,17.8944,93.7702,22.2547,85.3898,42.2127,39.8323,26.205
chr11:5325065-5325066,777.27,9.21118,17.8634,93.8727,22.2764,85.2593,42.2345,39.9068,26.264
chr11:5325094-5325095,712.242,9.21118,16.9301,91.2252,22.3106,80.9798,41.5466,39.5171,26.514
chr11:5325104-5325105,685.1460000000001,9.1646,16.5885,89.6879,22.2795,79.2562,41.1584,39.1444,26.4984
chr11:5325129-5325130,604.936,9.03261,15.5171,84.4938,22.1863,73.7671,39.7531,37.7158,26.087
chr11:5325130-5325131,600.98,9.0264,15.4612,84.205,22.1817,73.4767,39.6708,37.6289,26.0481
chr11:5330269-5330270,26.1988,6.92236,1.31056,6.32764,8.14596,9.59627,5.69876,9.27019,4.1382
chr11:5369965-5369966,378.194,4.63509,5.68944,11.9425,28.7453,11.4674,15.6925,10.1289,5.39286
chr11:5369977-5369978,386.07,4.65373,5.76398,11.8618,28.4845,11.5047,15.7733,10.3028,5.44255
chr11:5369979-5369980,386.899,4.65994,5.76708,11.8401,28.4286,11.5078,15.7764,10.3307,5.45186
chr11:5374672-5374673,24.8975,2.43634,1.63354,4.92702,11.7484,1.8229799999999998,3.3618,4.540369999999999,0.86646
chr11:5374683-5374684,25.0109,2.4922400000000002,1.79503,5.0791900000000005,11.8199,1.8059,3.31366,4.44255,0.888199
chr11:5391290-5391291,232.25799999999998,115.185,2.71429,13.2407,24.1988,11.4053,19.7065,9.77329,5.85714
chr11:5391293-5391294,232.169,115.814,2.69565,13.1335,24.3106,11.4286,19.7298,9.73602,5.84783
chr11:5391300-5391301,231.963,117.281,2.65217,12.8835,24.5714,11.4829,19.7842,9.64907,5.82609
chr11:5402129-5402130,198.396,76.2904,6.40683,9.09627,17.9969,6.635089999999999,11.5124,7.690989999999999,3.9705
chr11:5402137-5402138,203.39,77.6506,6.36025,9.177019999999999,18.1102,6.504659999999999,11.5264,7.605589999999999,3.86025
chr11:5402196-5402197,216.34900000000002,81.8307,5.44099,9.35093,17.9907,5.5295,11.0497,7.122669999999999,2.93478
chr11:5402198-5402199,215.675,81.6724,5.3913,9.3354,17.9472,5.495340000000001,11.0093,7.116460000000001,2.90062
chr11:5402207-5402208,212.643,80.9596,5.1677,9.26553,17.7516,5.34161,10.8276,7.08851,2.74689
chr11:5497629-5497630,88.4317,63.913000000000004,0.5,7.791930000000001,17.2562,3.5217400000000003,6.875780000000001,11.777999999999999,6.24379
chr11:5497655-5497656,92.5202,63.0994,0.740683,7.225160000000001,17.8059,3.7282599999999997,7.48602,12.6413,6.49068
chr11:5497670-5497671,94.5528,62.5311,0.888199,6.89752,18.0994,3.84006,7.8354,13.1196,6.631989999999999
chr11:5497673-5497674,94.3898,62.2609,0.939441,6.82764,18.132,3.8493800000000005,7.90528,13.1848,6.6646
chr11:5497690-5497691,91.3385,60.4193,1.22981,6.49379,18.1304,3.82453,8.19255,13.337,6.84938
chr11:5497691-5497692,91.0714,60.2981,1.24689,6.47671,18.1227,3.8198800000000004,8.20497,13.337,6.86025
chr11:5552459-5552460,10.382,3.24845,1.2142899999999999,0.892857,1.58385,6.976710000000001,1.1087,2.71584,2.74689
chr11:5552460-5552461,10.4643,3.25466,1.2205,0.8897520000000001,1.57453,7.00776,1.11335,2.7236,2.75155
chr11:5602227-5602228,18.7283,4.22671,1.39596,2.31522,6.2795,1.53106,6.15217,3.6801199999999996,2.91304
chr11:5602230-5602231,19.2966,4.208069999999999,1.4052799999999999,2.3944099999999997,6.28416,1.51708,6.18012,3.6894400000000003,2.92236
chr11:5602231-5602232,19.4783,4.19565,1.4052799999999999,2.42081,6.290369999999999,1.5155299999999998,6.19099,3.69255,2.92391
chr11:5602262-5602263,25.1102,3.8105599999999997,1.4052799999999999,3.23913,6.48292,1.46739,6.52795,3.78882,2.97205
chr11:5602308-5602309,33.6615,3.01398,1.42236,4.66925,6.8028,1.70807,7.02795,3.75,2.9394400000000003
chr11:5602341-5602342,38.1366,2.56988,1.49068,5.6087,6.939439999999999,2.03261,7.18168,3.6304300000000005,2.8540400000000004
chr11:5602344-5602345,38.3649,2.54658,1.5,5.67391,6.9441,2.06522,7.17702,3.6118,2.84472
chr11:5602346-5602347,38.5171,2.5310599999999996,1.50621,5.71739,6.9472,2.08696,7.17391,3.5993800000000005,2.83851
chr11:5602348-5602349,38.6693,2.51553,1.51242,5.76087,6.950310000000001,2.1087,7.17081,3.58696,2.8323
chr11:5602354-5602355,39.1258,2.4689400000000004,1.53106,5.8913,6.959630000000001,2.17391,7.16149,3.54969,2.81366
chr11:5602375-5602376,40.2391,2.38043,1.61491,6.291930000000001,6.954969999999999,2.38354,7.05435,3.4006199999999995,2.73913
chr11:5602377-5602378,40.2298,2.38975,1.62733,6.31677,6.94565,2.39907,7.0264,3.38199,2.72981
chr11:5602379-5602380,40.2205,2.39907,1.63975,6.34161,6.9363399999999995,2.4146,6.99845,3.36335,2.7205
chr11:5602387-5602388,39.6941,2.49068,1.7003099999999998,6.35404,6.89907,2.45497,6.8540399999999995,3.28882,2.68323
chr11:5602394-5602395,39.1724,2.57764,1.7546599999999999,6.35404,6.866460000000001,2.48758,6.7236,3.2236,2.65062
chr11:5612971-5612972,37.1273,3.4347800000000004,1.29193,3.5232900000000003,8.71429,4.0372699999999995,3.79969,4.0031099999999995,2.3618
chr11:5613011-5613012,40.691,4.81522,1.50621,3.0605599999999997,8.1972,4.1211199999999995,3.5232900000000003,4.4177,2.45807
chr11:5613018-5613019,41.1801,5.05435,1.53882,2.98447,8.09938,4.1211199999999995,3.47981,4.48292,2.47981
chr11:5613019-5613020,41.25,5.088509999999999,1.54348,2.9736,8.0854,4.1211199999999995,3.4736,4.49224,2.48292
chr11:5613021-5613022,41.2252,5.16615,1.5528,2.95186,8.04193,4.1087,3.4705,4.51087,2.48602
chr11:5613022-5613023,41.2127,5.204969999999999,1.55745,2.94099,8.02019,4.10248,3.4689400000000004,4.52019,2.48758
chr11:5613023-5613024,41.2003,5.24379,1.56211,2.93012,7.99845,4.09627,3.46739,4.5295,2.48913
chr11:5613025-5613026,41.1755,5.32143,1.5714299999999999,2.9083900000000003,7.954969999999999,4.08385,3.46429,4.54814,2.4922400000000002
chr11:5613026-5613027,41.163000000000004,5.36025,1.57609,2.89752,7.93323,4.07764,3.46273,4.55745,2.49379
chr11:5613029-5613030,41.1258,5.47671,1.59006,2.86491,7.868010000000001,4.05901,3.4580699999999998,4.5854,2.49845
chr11:5613030-5613031,41.1134,5.51553,1.5947200000000001,2.8540400000000004,7.84627,4.0528,3.45652,4.59472,2.5
chr11:5617936-5617937,656.1410000000001,7.42236,17.5668,26.5652,21.4379,62.7671,33.6366,34.9969,42.2019
chr11:5617945-5617946,673.96,7.618010000000001,18.9224,27.4736,21.8012,65.3944,34.1957,36.1149,42.8866
chr11:5617972-5617973,725.449,8.20963,23.0823,30.1708,22.9286,73.3137,35.8354,39.4224,44.9596
chr11:5617982-5617983,736.0169999999999,8.4177,24.7842,30.9938,23.4224,76.1335,36.2578,40.3882,45.7174
chr11:5618025-5618026,729.2669999999999,8.86646,30.0792,32.7065,24.9488,84.2547,36.6988,42.309,47.8354
chr11:5618033-5618034,719.0889999999999,8.909939999999999,30.8152,32.6522,25.1894,85.2764,36.6227,42.3556,48.1242
chr11:5618043-5618044,702.4739999999999,8.925469999999999,31.3276,32.3416,25.4224,85.913,36.4208,42.1227,48.3106
chr11:5618044-5618045,700.812,8.927019999999999,31.3789,32.3106,25.4457,85.9767,36.4006,42.0994,48.3292
chr11:5618045-5618046,699.1510000000001,8.92857,31.4301,32.2795,25.4689,86.0404,36.3804,42.0761,48.3478
chr11:5621680-5621681,481.006,128.618,7.1288800000000005,8.490680000000001,21.4286,19.6693,23.6972,5.47826,8.51398
chr11:5621703-5621704,520.97,135.404,7.521739999999999,8.81211,22.3929,20.8835,24.5543,6.69255,9.406830000000001
chr11:5621704-5621705,522.7080000000001,135.69899999999998,7.538819999999999,8.826089999999999,22.4348,20.9363,24.5916,6.74534,9.44565
chr11:5621705-5621706,524.446,135.994,7.5559,8.840060000000001,22.4767,20.9891,24.6289,6.798139999999999,9.48447
chr11:5621706-5621707,526.183,136.289,7.57298,8.85404,22.5186,21.0419,24.6661,6.85093,9.52329
chr11:5621715-5621716,541.821,138.944,7.726710000000001,8.97981,22.896,21.5171,25.0016,7.32609,9.87267
chr11:5621719-5621720,548.7719999999999,140.124,7.795030000000001,9.03571,23.0637,21.7283,25.1506,7.5372699999999995,10.027999999999999
chr11:5621766-5621767,547.888,136.80100000000002,7.58385,9.12112,24.2003,22.6413,24.5047,11.0916,11.9425
chr11:5621767-5621768,547.582,136.679,7.57609,9.12112,24.2205,22.6553,24.4829,11.1661,11.9829
chr11:5621768-5621769,547.276,136.556,7.56832,9.12112,24.2407,22.6693,24.4612,11.2407,12.0233
chr11:5621770-5621771,545.595,136.085,7.540369999999999,9.11335,24.278000000000002,22.6832,24.3898,11.3929,12.1009
chr11:5621779-5621780,533.2130000000001,132.955,7.3587,9.04348,24.4317,22.6832,23.9425,12.0916,12.4363
chr11:5646401-5646402,58.0807,5.51863,1.38975,3.2717400000000003,9.45186,2.52484,7.55435,4.31677,3.13199
chr11:5646404-5646405,57.2329,5.5559,1.38509,3.2205,9.423910000000001,2.50621,7.6288800000000005,4.26087,3.1459599999999996
chr11:5646405-5646406,56.9503,5.56832,1.38354,3.20342,9.4146,2.5,7.65373,4.24224,3.15062
chr11:5646406-5646407,56.6677,5.58075,1.38199,3.18634,9.40528,2.49379,7.67857,4.2236,3.15528
chr11:5672161-5672162,106.988,1.64752,1.4177,9.156830000000001,11.5543,10.1568,4.51708,4.44565,5.02484
chr11:5672175-5672176,108.60600000000001,1.54814,1.2344700000000002,9.61025,11.309000000000001,10.1537,4.66925,4.206519999999999,5.23913
chr11:5672223-5672224,99.8385,1.54193,0.563665,10.2158,10.4255,9.55901,5.16615,3.67236,5.39596
chr11:5672233-5672234,95.545,1.61335,0.442547,10.118,10.309000000000001,9.341610000000001,5.1941,3.6382,5.32143
chr11:5672253-5672254,85.7624,1.7996900000000002,0.287267,9.68323,10.1848,8.906830000000001,5.1630400000000005,3.70031,5.041930000000001
chr11:5672258-5672259,83.3168,1.84627,0.24844699999999997,9.574530000000001,10.1537,8.79814,5.15528,3.71584,4.97205
chr11:5686629-5686630,150.49200000000002,7.968939999999999,2.21429,22.0512,17.25,30.6149,11.8696,9.78416,8.04658
chr11:5686631-5686632,149.961,7.9627300000000005,2.21273,22.1646,17.236,30.5062,11.8758,9.78571,8.02174
chr11:5686632-5686633,149.582,7.959630000000001,2.2096299999999998,22.2112,17.2205,30.4472,11.8711,9.78727,8.007760000000001
chr11:5686633-5686634,149.203,7.956519999999999,2.2065200000000003,22.2578,17.205,30.3882,11.8665,9.78882,7.99379
chr11:5686860-5686861,55.8323,4.4177,3.21429,22.7516,12.5606,18.4705,8.240680000000001,10.5947,6.03416
chr11:5686861-5686862,55.8758,4.40373,3.23758,22.7205,12.5528,18.441,8.24845,10.5947,6.03416
chr11:5686869-5686870,56.2236,4.291930000000001,3.42391,22.471999999999998,12.4907,18.205,8.31056,10.5947,6.03416
chr11:5686888-5686889,58.1879,4.11801,3.9177,21.7624,12.3214,17.3649,8.63043,10.5776,6.07143
chr11:5705044-5705045,95.52799999999999,5.004659999999999,0.23291900000000001,7.8695699999999995,9.242239999999999,2.21118,8.12888,5.8323,3.5419300000000002
chr11:5705058-5705059,97.1584,5.06988,0.31987600000000005,7.43478,9.54658,2.23292,8.04193,5.89752,3.15062
chr11:5705060-5705061,97.3913,5.0791900000000005,0.332298,7.372669999999999,9.590060000000001,2.23602,8.0295,5.90683,3.09472
chr11:5705062-5705063,97.6242,5.088509999999999,0.34471999999999997,7.310560000000001,9.63354,2.23913,8.01708,5.91615,3.03882
chr11:5705063-5705064,97.7407,5.09317,0.350932,7.2795,9.65528,2.24068,8.010869999999999,5.9208099999999995,3.01087
chr11:5705065-5705066,97.9736,5.10248,0.363354,7.217389999999999,9.69876,2.24379,7.99845,5.93012,2.95497
chr11:5705067-5705068,98.2065,5.1118,0.375776,7.15528,9.742239999999999,2.24689,7.98602,5.93944,2.89907
chr11:5705068-5705069,98.323,5.11646,0.381988,7.124219999999999,9.76398,2.24845,7.9798100000000005,5.9441,2.87112
chr11:5705076-5705077,97.9938,5.15373,0.464286,6.82143,9.98137,2.2934799999999997,7.90839,5.94876,2.63665
chr11:5705086-5705087,96.3882,5.17236,0.5729810000000001,6.45186,10.2516,2.37422,7.83385,5.93012,2.36025
chr11:5705099-5705100,93.4612,5.17236,0.714286,5.98758,10.5947,2.49534,7.75311,5.88975,2.01708
chr11:5705100-5705101,93.236,5.17236,0.725155,5.95186,10.6211,2.50466,7.74689,5.88665,1.99068
chr11:5705111-5705112,90.7593,5.17236,0.84472,5.55901,10.9115,2.6071400000000002,7.67857,5.85248,1.7003099999999998
chr11:5705116-5705117,89.6335,5.17236,0.899068,5.3804300000000005,11.0435,2.65373,7.64752,5.8369599999999995,1.5683200000000002
chr11:5706017-5706018,295.556,99.1739,3.3555900000000003,16.7562,25.9441,34.2826,32.6289,20.5963,9.81677
chr11:5706299-5706300,709.632,31.0978,13.4953,23.6071,25.2329,47.4472,53.3261,20.7469,16.264
chr11:5706300-5706301,711.862,30.986,13.5155,23.5932,25.2252,47.5078,53.3401,20.7112,16.2547
chr11:5706302-5706303,716.321,30.7624,13.5559,23.5652,25.2096,47.6289,53.368,20.6398,16.236
chr11:5706303-5706304,718.551,30.6506,13.5761,23.5512,25.2019,47.6894,53.382,20.604,16.2267
chr11:5706336-5706337,769.691,26.7609,13.5652,22.6817,24.6879,48.8882,53.0714,19.0311,15.5295
chr11:5706339-5706340,770.436,26.5047,13.4581,22.5466,24.604,48.9348,52.941,18.8634,15.4177
chr11:5706354-5706355,774.163,25.2236,12.9224,21.8711,24.1848,49.1677,52.2888,18.0248,14.8587
chr11:5706355-5706356,774.4110000000001,25.1382,12.8866,21.8261,24.1568,49.1832,52.2453,17.9689,14.8214
chr11:5706357-5706358,774.908,24.9674,12.8152,21.736,24.1009,49.2143,52.1584,17.8571,14.7469
chr11:5706360-5706361,775.654,24.7112,12.7081,21.6009,24.0171,49.2609,52.028,17.6894,14.6351
chr11:5706370-5706371,776.66,23.8214,12.3214,21.1335,23.721999999999998,49.3618,51.5419,17.1056,14.2484
chr11:5706373-5706374,772.97,23.4581,12.1258,20.9472,23.5916,49.2453,51.2578,16.8634,14.0947
chr11:5706377-5706378,768.051,22.9736,11.8649,20.6988,23.4177,49.0901,50.8789,16.5404,13.8898
chr11:5711590-5711591,25.6366,6.15683,2.12422,7.59627,16.441,2.3323,12.2655,3.4875800000000003,2.40528
chr11:5711611-5711612,26.2888,6.2872699999999995,2.05901,8.18323,16.5714,2.5605599999999997,12.1351,3.5528,2.40528
chr11:5711615-5711616,26.413,6.31211,2.04658,8.29503,16.5963,2.6040400000000004,12.1102,3.5652199999999996,2.40528
chr11:5711621-5711622,26.6832,6.34006,2.02795,8.47516,16.6242,2.68478,12.0823,3.58696,2.3928599999999998
chr11:5712174-5712175,44.9783,1.94565,1.0295,11.0435,20.1817,7.6211199999999995,10.3323,6.29969,5.36646
chr11:5712175-5712176,44.8416,1.9503099999999998,1.0217399999999999,11.045,20.1661,7.58696,10.323,6.30435,5.375780000000001
chr11:5712590-5712591,24.8634,3.56366,3.25932,5.25621,20.8525,6.9363399999999995,10.8028,5.76863,4.76242
chr11:5712655-5712656,32.7609,3.5823,5.48602,7.50776,18.3556,10.1056,11.3711,6.038819999999999,5.95186
chr11:5712689-5712690,33.8416,3.3618,6.3788800000000005,8.27329,16.896,11.4503,11.2857,6.07764,6.290369999999999
chr11:5733815-5733816,17.8929,27.3991,2.11801,3.5652199999999996,8.73137,1.53106,9.3882,3.9270199999999997,2.04814
chr11:5733838-5733839,19.986,31.4224,1.7732900000000003,3.7080699999999998,8.52484,1.63665,9.30435,3.7732900000000003,2.19565
chr11:5733885-5733886,23.163,38.1134,1.12422,4.13975,8.077639999999999,1.7996900000000002,8.88043,3.66925,2.53727
chr11:5735059-5735060,22.396,1.21894,2.20186,1.9052799999999999,7.107139999999999,1.35714,1.77174,5.16925,2.3944099999999997
chr11:5735060-5735061,22.5652,1.22205,2.20497,1.9052799999999999,7.08075,1.36025,1.7608700000000002,5.17391,2.38509
chr11:5735066-5735067,23.5807,1.24068,2.2236,1.9052799999999999,6.92236,1.3788799999999999,1.69565,5.20186,2.32919
chr11:5735069-5735070,24.0885,1.25,2.23292,1.9052799999999999,6.84317,1.3882,1.66304,5.21584,2.30124
chr11:5735072-5735073,24.6335,1.28261,2.23758,1.90062,6.76398,1.40683,1.63509,5.24379,2.25932
chr11:5735107-5735108,29.8602,1.70497,2.33385,1.80435,5.96584,1.5823,1.39286,5.52795,1.7701900000000002
chr11:5735108-5735109,30.0,1.7173900000000002,2.33696,1.8012400000000002,5.9441,1.58696,1.38665,5.53571,1.7562099999999998
chr11:5735110-5735111,30.2795,1.7422400000000002,2.34317,1.79503,5.90062,1.59627,1.37422,5.55124,1.72826
chr11:5735117-5735118,31.2578,1.82919,2.36491,1.7732900000000003,5.74845,1.6288799999999999,1.33075,5.60559,1.6304299999999998
chr11:5735127-5735128,32.4068,2.00311,2.37112,1.7422400000000002,5.5559,1.67547,1.3059,5.73292,1.49068
chr11:5735168-5735169,34.4441,2.76708,2.1941,1.61491,5.26398,1.80745,1.41925,6.2468900000000005,1.0947200000000001
chr11:5735189-5735190,33.6056,3.17857,2.03416,1.56366,5.2795,1.81056,1.63665,6.618010000000001,0.97205
chr11:5735194-5735195,33.2096,3.26398,1.9953400000000001,1.5559,5.31056,1.81056,1.6987599999999998,6.7034199999999995,0.956522
chr11:5829874-5829875,227.78900000000002,100.86,6.874219999999999,5.5528,34.8059,5.69876,11.1599,7.950310000000001,6.964289999999999
chr11:5829885-5829886,224.99400000000003,100.79,6.978260000000001,5.52795,35.2019,5.8323,11.4022,8.1087,6.7965800000000005
chr11:5829887-5829888,223.96900000000002,100.65100000000001,6.99379,5.52174,35.2484,5.84472,11.4394,8.14596,6.75932
chr11:5831808-5831809,77.4286,3.84783,3.16615,11.2919,11.6661,16.795,8.70031,15.2484,11.1413
chr11:5831815-5831816,79.9177,3.96739,3.25311,11.2267,11.764000000000001,17.1972,8.7764,15.5202,11.2609
chr11:5831826-5831827,83.3618,4.15528,3.3462699999999996,11.0481,11.9286,17.7531,8.841610000000001,15.9255,11.4161
chr11:5831827-5831828,83.6506,4.17236,3.3524800000000003,11.027999999999999,11.9441,17.7997,8.84472,15.9612,11.4286
chr11:5831829-5831830,84.2283,4.206519999999999,3.36491,10.9876,11.9752,17.8929,8.85093,16.0326,11.4534
chr11:5831864-5831865,88.5823,4.59317,3.37112,10.1755,12.3075,18.7842,8.80124,16.7019,11.4658
chr19:12936453-12936454,75.1957,46.8851,1.25155,5.877330000000001,62.6972,2.74689,16.972,10.4503,5.80124
chr19:12936454-12936455,75.7283,47.0947,1.24224,5.86335,62.8835,2.75466,17.0047,10.440999999999999,5.82453
chr19:12936478-12936479,88.9161,52.1957,1.03261,5.59783,67.118,2.94099,17.8152,10.2314,6.411490000000001
chr19:12936520-12936521,106.40700000000001,58.4643,1.02019,5.7795,70.5373,3.2065200000000003,18.8075,10.0264,7.32764
chr19:12943417-12943418,406.62,131.41,18.8401,12.5342,78.1988,26.8711,66.5543,19.0761,16.1056
chr19:12943522-12943523,560.193,202.33700000000002,25.3634,12.118,76.6475,28.1227,71.3214,15.9767,15.3696
chr19:12943524-12943525,561.186,203.707,25.3043,12.0994,76.604,28.1413,71.2935,15.9053,15.3292
chr19:12949227-12949228,502.96,192.78900000000002,3.2764,11.5373,109.025,13.8059,55.9006,11.8866,12.9519
chr19:12952075-12952076,209.73,12.2702,4.83075,11.8711,44.8789,10.295,24.9099,15.235999999999999,9.35093
chr19:12952087-12952088,207.101,12.5792,4.6708099999999995,11.472000000000001,45.3152,10.4208,24.354,14.9115,9.15528
chr19:12952088-12952089,206.745,12.6056,4.65683,11.4394,45.3432,10.4255,24.3168,14.8851,9.14286
chr19:12952181-12952182,147.092,14.7236,3.07298,8.49845,45.4627,9.65217,20.3789,13.7842,7.866460000000001
chr19:12952182-12952183,146.222,14.722000000000001,3.05901,8.47826,45.413000000000004,9.63043,20.3323,13.8028,7.85248
chr19:12958543-12958544,496.88,227.68,18.0963,9.740680000000001,76.7298,8.85404,38.3758,17.0124,14.1522
chr19:12958599-12958600,595.391,246.28,17.5528,11.0202,80.2205,8.58385,41.2422,16.9115,15.6755
chr19:12967654-12967655,44.4891,8.22826,8.11025,8.68323,13.104000000000001,44.5839,43.1677,23.4488,19.1522
chr19:12967664-12967665,44.955,8.55435,8.09472,8.496889999999999,13.0575,44.3043,43.3851,23.6506,18.7795
chr19:12979772-12979773,122.262,6.791930000000001,7.07609,11.5621,17.632,8.29503,6.14286,4.877330000000001,2.09472
chr19:12979781-12979782,125.88,6.92236,7.3804300000000005,11.7345,17.2857,8.31366,6.07143,4.94565,2.12888
chr19:12979824-12979825,131.63,7.7701899999999995,8.09627,12.1553,15.7034,8.02329,6.2205,5.18168,2.54503
chr19:12983903-12983904,199.295,10.0637,57.7469,7.607139999999999,22.5124,8.08075,24.4068,10.177,5.90373
chr19:12983943-12983944,219.519,9.43168,58.4394,7.60093,23.0776,8.341610000000001,24.8401,11.0683,5.956519999999999
chr19:12983947-12983948,220.227,9.338510000000001,58.0295,7.57609,23.1149,8.37267,24.809,11.1615,5.97516
chr19:12983954-12983955,221.46599999999998,9.175469999999999,57.3121,7.532610000000001,23.1801,8.427019999999999,24.7547,11.3245,6.00776
chr19:12994637-12994638,321.683,19.9441,19.1724,18.882,45.2826,28.7034,78.0932,21.7671,19.1118
chr19:12994639-12994640,324.876,20.0124,19.3711,18.9224,45.4441,28.7469,78.413,21.8043,19.236
chr19:12994641-12994642,328.06800000000004,20.0807,19.5699,18.9627,45.6056,28.7904,78.7329,21.8416,19.3602
chr19:12994642-12994643,329.665,20.1149,19.6693,18.9829,45.6863,28.8121,78.8929,21.8602,19.4224
chr19:12994643-12994644,331.26099999999997,20.1491,19.7686,19.0031,45.7671,28.8339,79.0528,21.8789,19.4845
chr19:12994644-12994645,332.85699999999997,20.1832,19.868,19.0233,45.8478,28.8556,79.2127,21.8975,19.5466
chr19:12994645-12994646,334.45300000000003,20.2174,19.9674,19.0435,45.9286,28.8773,79.3727,21.9161,19.6087
chr19:12994688-12994689,393.01099999999997,21.3432,23.4969,19.4503,49.4953,29.205,85.1444,22.5963,22.1817
chr19:12994731-12994732,413.12699999999995,21.3929,24.5419,18.6196,52.7407,27.8137,86.7842,22.7966,23.8416
chr19:12994737-12994738,408.80400000000003,21.2531,24.3556,18.3866,53.0575,27.5528,86.4301,22.7593,23.8696
chr19:12994739-12994740,407.36300000000006,21.2065,24.2935,18.309,53.163000000000004,27.4658,86.3121,22.7469,23.8789
chr19:12994745-12994746,403.04,21.0668,24.1071,18.0761,53.4798,27.205,85.9581,22.7096,23.9068
chr19:12994748-12994749,400.879,20.9969,24.014,17.9596,53.6382,27.0745,85.7811,22.691,23.9208
chr19:12994749-12994750,400.158,20.9736,23.9829,17.9208,53.691,27.0311,85.72200000000001,22.6848,23.9255
chr19:12994750-12994751,399.43800000000005,20.9503,23.9519,17.882,53.7438,26.9876,85.663,22.6786,23.9301
chr19:12995912-12995913,1455.32,32.6677,161.031,13.3509,87.9581,21.9441,80.7081,23.3447,32.8773
chr19:12995916-12995917,1473.0,32.854,163.031,13.3075,88.1009,22.3043,81.1801,23.4689,32.9829
chr19:12995970-12995971,1666.23,37.9627,175.079,13.7391,92.2143,27.1537,87.736,25.7888,34.5047
chr19:12996079-12996080,1597.21,58.5839,131.351,17.2391,105.744,28.9534,96.0311,30.5497,33.896
chr19:12996126-12996127,1383.9,68.0,100.88,18.722,108.73100000000001,26.8323,94.5792,30.5714,32.6475
chr19:12996172-12996173,1128.84,75.6258,70.7981,19.705,108.90100000000001,25.2655,89.3944,28.8727,31.3199
chr19:12996411-12996412,489.255,126.66799999999999,13.5575,21.6506,121.073,23.7873,61.3183,19.6273,21.6304
chr19:12996436-12996437,492.97,131.935,13.2826,21.4255,124.7,24.3991,61.7516,19.8975,20.4332
chr19:12996447-12996448,492.69699999999995,132.857,13.2143,21.2547,125.691,24.7236,62.0419,20.1879,20.0233
chr19:12996499-12996500,467.087,130.66299999999998,12.2733,20.4006,127.071,26.1522,62.5093,21.7345,18.4938
chr19:12996692-12996693,212.19400000000002,59.5606,4.43634,23.0,115.885,36.6786,50.6304,19.236,28.8742
chr19:12996698-12996699,209.856,58.0792,4.35248,23.2516,116.575,37.6102,50.3975,19.1429,29.5916
chr19:12996766-12996767,203.363,43.5388,3.57453,26.8059,127.171,50.2158,49.6227,20.5093,38.0807
chr19:12996768-12996769,203.649,43.2003,3.55901,26.9146,127.525,50.604,49.6382,20.5901,38.3199
chr19:12996819-12996820,218.146,34.7562,3.2065200000000003,31.6258,138.264,62.5575,52.5031,24.8587,45.6817
chr19:12997144-12997145,727.918,18.8711,32.5233,136.21,250.169,308.545,104.11200000000001,88.7997,148.537
chr19:12997258-12997259,674.38,19.5792,31.6071,137.658,230.40200000000002,308.137,93.6584,90.9037,151.488
chr19:12997523-12997524,194.613,15.940999999999999,6.66615,28.9425,110.07799999999999,76.2578,43.4224,27.6165,42.104
chr19:12997530-12997531,196.298,15.690999999999999,6.65528,28.3121,110.404,73.6491,42.7702,26.9425,40.2671
